"","id","tr","Trademarks","Trademarks_0to10","Trademarks_10to100","Trademarks_100+","Trademarks_NA"
"1022",1022,"NA","NA",0,0,0,1
"1023",1023,"1","0to10",1,0,0,0
"1024",1024,"2","0to10",1,0,0,0
"1025",1025,"NA","NA",0,0,0,1
"1026",1026,"NA","NA",0,0,0,1
"1027",1027,"NA","NA",0,0,0,1
"1028",1028,"NA","NA",0,0,0,1
"1029",1029,"5","0to10",1,0,0,0
"1030",1030,"NA","NA",0,0,0,1
"1031",1031,"1","0to10",1,0,0,0
"1032",1032,"NA","NA",0,0,0,1
"1033",1033,"2","0to10",1,0,0,0
"1034",1034,"2","0to10",1,0,0,0
"1035",1035,"NA","NA",0,0,0,1
"1036",1036,"NA","NA",0,0,0,1
"1037",1037,"NA","NA",0,0,0,1
"1038",1038,"NA","NA",0,0,0,1
"1039",1039,"NA","NA",0,0,0,1
"1040",1040,"1","0to10",1,0,0,0
"1041",1041,"NA","NA",0,0,0,1
"1042",1042,"NA","NA",0,0,0,1
"1043",1043,"NA","NA",0,0,0,1
"1044",1044,"22","10to100",0,1,0,0
"1045",1045,"NA","NA",0,0,0,1
"1046",1046,"NA","NA",0,0,0,1
"1047",1047,"NA","NA",0,0,0,1
"1048",1048,"1","0to10",1,0,0,0
"1049",1049,"4","0to10",1,0,0,0
"1050",1050,"NA","NA",0,0,0,1
"1051",1051,"7","0to10",1,0,0,0
"1052",1052,"1","0to10",1,0,0,0
"1053",1053,"NA","NA",0,0,0,1
"1054",1054,"4","0to10",1,0,0,0
